,country_name,year,internet_user,GDP_growth,Mobile_subscriptions,population_density,population_total,school_enrollment,time_tostart_business,electricity_consumption
154,Saudi Arabia,2012,54,5.38446595,187.3595577,13.15903921,28287855,102.77889,20,8763.478178
155,Spain,2012,69.80999994,-2.088745234,108.3640175,93.77116079,46773055,102.91455,29,5573.401182
156,Switzerland,2012,85.2,1.109171726,132.0563723,202.3702045,7996861,102.79424,18,7886.094306
157,Turkey,2012,45.13,2.127460619,91.46374843,96.14636644,73997128,100.03322,6,2793.513824
158,United Kingdom,2012,87.47999842,0.659035023,124.7618169,263.3005415,63700300,108.52618,11.5,5452.030838
159,United States,2012,79.3,2.321084741,96.01037609,34.33887129,314112078,98.13031,5,12954.15326
160,Argentina,2013,59.9,2.885351883,162.5274217,15.14466235,41446246,,22,
161,Australia,2013,83,2.511938261,106.8434974,3.010279213,23125868,108.1289,2.5,
162,Brazil,2013,51.04,2.74369665,135.3050481,23.97207094,200361925,,86.6,
163,China,2013,45.8,7.68380997,88.70833462,144.5834568,1357380000,126.41627,34.4,
164,France,2013,81.9198,0.656488993,98.49547248,120.3889649,65920302,107.5376,6.5,
165,Germany,2013,84.17,0.105792041,120.9211651,231.3812045,80645605,100.30371,14.5,
166,India,2013,15.1,6.899217233,70.78318167,421.1434843,1252139596,,26.1,
167,Indonesia,2013,14.94,5.579211168,125.3581426,137.927671,249865631,,75.5,
168,Italy,2013,58.4593,-1.698274142,158.8172931,204.7798599,60233948,,6,
169,Japan,2013,89.71,1.613366904,116.3154258,349.294001,127338621,,10.7,
170,"Korea, Rep.",2013,84.77,2.896,110.9984678,515.86717,50219669,102.73686,4,
171,Mexico,2013,43.46,1.390831387,84.81947943,62.92980735,122332399,104.8132,6.3,
172,Netherlands,2013,93.9564,-0.725512456,116.1568948,498.3520759,16804432,104.16675,4,
173,Russian Federation,2013,67.97,1.340797615,152.8353524,8.762780128,143506911,99.66888,12.9,
174,Saudi Arabia,2013,60.5,2.669911395,184.2042369,13.41071038,28828870,107.95052,20.5,
175,Spain,2013,71.635,-1.229951981,106.8867146,93.46440457,46620045,104.47666,23,
176,Switzerland,2013,86.34,1.915615441,136.7772396,204.7106489,8089346,,18,
177,Turkey,2013,46.25,4.192509259,92.96497103,97.36190247,74932641,109.14612,6,
178,United Kingdom,2013,89.8441,1.664698826,124.6098071,264.9806928,64106779,108.91624,11.5,
179,United States,2013,84.2,2.219307991,97.07773939,34.59965007,316497531,97.93802,6.2,
180,Argentina,2014,64.7,0.46925706,158.735762,15.27506769,41803125,,20,
181,Australia,2014,84.56,2.474910319,131.2305468,3.057773844,23490736,,2,
182,Brazil,2014,57.6,0.144707354,138.9514906,24.17208494,202033670,,83.6,
183,China,2014,49.3,7.351000022,92.27349082,145.317356,1364270000,,31.4,
184,France,2014,83.75,0.179563041,100.3615662,120.9022648,66201365,,4.5,
185,Germany,2014,86.19,1.604381006,120.4189829,232.0809807,80889505,,14.5,
186,India,2014,18,7.416710026,74.48376991,426.2767765,1267401849,,28.4,
187,Indonesia,2014,17.14,5.024664957,126.180597,139.5542237,252812245,,52.5,
188,Italy,2014,61.96,-0.426096767,154.2486564,208.5278677,61336387,,5,
189,Japan,2014,90.58,-0.10447889,120.2329983,348.7266842,127131800,,10.7,
190,"Korea, Rep.",2014,84.33,3.310147565,115.5435591,517.9656394,50423955,100.45655,4,
191,Mexico,2014,44.39,2.12475861,82.54324957,63.68436174,123799215,,6.3,
192,Netherlands,2014,93.17,0.873913345,116.4234077,499.8274911,16854183,,4,
193,Russian Federation,2014,70.52,0.640485764,155.144239,8.781871566,143819569,,11.2,
194,Saudi Arabia,2014,63.7,3.467704913,179.5611716,13.66216896,29369428,109.81089,20.5,
195,Spain,2014,76.19,1.389371939,107.8492701,93.03248196,46404602,,13,
196,Switzerland,2014,87,,140.5386879,207.2636147,8190229,,10,
197,Turkey,2014,51.04,2.86670174,94.7933028,98.5369853,75837020,,6.5,
198,United Kingdom,2014,91.61,2.553033181,123.5810846,266.6489315,64510376,,6,
199,United States,2014,87.36,2.388226907,98.4068578,34.85759438,318857056,,5.6,
